bill_id,state,bill_number,year,session_title,status_desc,status_date,last_action_date,last_action,committee,direction_heuristic,title,description,url
601951,MS,HB572,2014,2014 Regular Session,In House Committee,2014-02-04,2014-02-04,Died In Committee,,opens,Open primary; authorize a nonbinding referendum on the question of.,An Act To Provide For A Statewide Special Election For The Purpose Of Conducting A Referendum On The Question Of Conducting Open Primaries In The State Of Mississippi; To Allow The Electorate To Vote ,https://legiscan.com/MS/bill/HB572/2014
577804,MS,HB55,2014,2014 Regular Session,In House Committee,2014-02-04,2014-02-04,Died In Committee,,opens,"Open primaries elections; authorize for state, county and municipal offices.","An Act To Abolish Partisan Primaries; To Provide The Time For Holding General And Preferential Elections; To Provide That When Only One Person Has Qualified As A Candidate For An Office, Such Person's",https://legiscan.com/MS/bill/HB55/2014
688823,MS,SB2613,2015,2015 Regular Session,In Senate Committee,2015-02-03,2015-02-03,Died In Committee,,closes,Elections; establish closed primary system.,An Act To Provide That Only Registered Voters Affiliated With A Political Party May Vote In The Party's Primary Election; To Provide That Registered Voters Not Affiliated With A Political Party May Vo,https://legiscan.com/MS/bill/SB2613/2015
692344,MS,HB934,2015,2015 Regular Session,In House Committee,2015-02-03,2015-02-03,Died In Committee,,opens,Open primaries; authorize.,"An Act To Abolish Partisan Primaries; To Provide The Time For Holding General And Preferential Elections; To Provide That When Only One Person Has Qualified As A Candidate For An Office, Such Person's",https://legiscan.com/MS/bill/HB934/2015
667254,MS,HB83,2015,2015 Regular Session,In House Committee,2015-02-03,2015-02-03,Died In Committee,,opens,"Open primaries elections; authorize for state, county and municipal offices.","An Act To Abolish Partisan Primaries; To Provide The Time For Holding General And Preferential Elections; To Provide That When Only One Person Has Qualified As A Candidate For An Office, Such Person's",https://legiscan.com/MS/bill/HB83/2015
673069,MS,HB228,2015,2015 Regular Session,In House Committee,2015-02-03,2015-02-03,Died In Committee,,opens,Open primaries; authorize.,"An Act To Abolish Partisan Primaries; To Provide The Time For Holding General And Preferential Elections; To Provide That When Only One Person Has Qualified As A Candidate For An Office, Such Person's",https://legiscan.com/MS/bill/HB228/2015
688818,MS,SB2594,2015,2015 Regular Session,In Senate Committee,2015-02-03,2015-02-03,Died In Committee,,opens,"Open primaries elections; authorize for state, county and municipal offices.","An Act To Abolish Partisan Primaries; To Provide The Time For Holding General And Preferential Elections; To Provide That When Only One Person Has Qualified As A Candidate For An Office, Such Person's",https://legiscan.com/MS/bill/SB2594/2015
667161,MS,HB64,2015,2015 Regular Session,In House Committee,2015-02-03,2015-02-03,Died In Committee,,opens,Open primaries; authorize.,"An Act To Abolish Partisan Primaries; To Provide The Time For Holding General And Preferential Elections; To Provide That When Only One Person Has Qualified As A Candidate For An Office, Such Person's",https://legiscan.com/MS/bill/HB64/2015
688495,MS,SB2593,2015,2015 Regular Session,In Senate Committee,2015-02-03,2015-02-03,Died In Committee,,opens,"Open primaries elections; authorize for state, county and municipal offices.","An Act To Abolish Partisan Primaries; To Provide The Time For Holding General And Preferential Elections; To Provide That When Only One Person Has Qualified As A Candidate For An Office, Such Person's",https://legiscan.com/MS/bill/SB2593/2015
693435,MS,HB935,2015,2015 Regular Session,In House Committee,2015-02-03,2015-02-03,Died In Committee,,opens,Open primaries; authorize statewide.,"An Act To Abolish Partisan Primaries; To Provide The Time For Holding General And Preferential Elections; To Provide That When Only One Person Has Qualified As A Candidate For An Office, Such Person's",https://legiscan.com/MS/bill/HB935/2015
838808,MS,HB28,2016,2016 Regular Session,In House Committee,2016-02-23,2016-02-23,Died In Committee,,opens,Open primaries; authorize.,"An Act To Abolish Partisan Primaries; To Provide The Time For Holding General And Preferential Elections; To Provide That When Only One Person Has Qualified As A Candidate For An Office, Such Person's",https://legiscan.com/MS/bill/HB28/2016
838893,MS,HB31,2016,2016 Regular Session,In House Committee,2016-02-23,2016-02-23,Died In Committee,,opens,"Open primaries elections; authorize for state, county and municipal offices.","An Act To Abolish Partisan Primaries; To Provide The Time For Holding General And Preferential Elections; To Provide That When Only One Person Has Qualified As A Candidate For An Office, Such Person's",https://legiscan.com/MS/bill/HB31/2016
839028,MS,SB2221,2016,2016 Regular Session,In Senate Committee,2016-02-23,2016-02-23,Died In Committee,,opens,"Open primary elections; authorize for state, county and municipal offices.","An Act To Abolish Partisan Primaries; To Provide The Time For Holding General And Preferential Elections; To Provide That When Only One Person Has Qualified As A Candidate For An Office, Such Person's",https://legiscan.com/MS/bill/SB2221/2016
844347,MS,HC47,2016,2016 Regular Session,In House Committee,2016-02-23,2016-02-23,Died In Committee,,opens,Constitution; amend to require open primaries.,"A Concurrent Resolution Proposing An Amendment To The Mississippi Constitution Of 1890, By Creating A New Section To Abolish Partisan Primaries; To Provide The Time For Holding Preferential And Genera",https://legiscan.com/MS/bill/HC47/2016
847336,MS,SB2671,2016,2016 Regular Session,In Senate Committee,2016-02-23,2016-02-23,Died In Committee,,opens,"Open primaries elections; authorize for state, county and municipal offices.","An Act To Abolish Partisan Primaries; To Provide The Time For Holding General And Preferential Elections; To Provide That When Only One Person Has Qualified As A Candidate For An Office, Such Person's",https://legiscan.com/MS/bill/SB2671/2016
843336,MS,HB858,2016,2016 Regular Session,In House Committee,2016-02-23,2016-02-23,Died In Committee,,opens,Open primaries; authorize.,"An Act To Abolish Partisan Primaries; To Provide The Time For Holding General And Preferential Elections; To Provide That When Only One Person Has Qualified As A Candidate For An Office, Such Person's",https://legiscan.com/MS/bill/HB858/2016
828871,MS,SB2012,2016,2016 Regular Session,In Senate Committee,2016-02-23,2016-02-23,Died In Committee,,opens,"Open primary elections; authorize for state, county and municipal offices.","An Act To Abolish Partisan Primaries; To Provide The Time For Holding General And Preferential Elections; To Provide That When Only One Person Has Qualified As A Candidate For An Office, Such Person's",https://legiscan.com/MS/bill/SB2012/2016
838877,MS,HB66,2016,2016 Regular Session,In House Committee,2016-02-23,2016-02-23,Died In Committee,,opens,"Open primaries elections; authorize for state, county and municipal offices.","An Act To Abolish Partisan Primaries; To Provide The Time For Holding General And Preferential Elections; To Provide That When Only One Person Has Qualified As A Candidate For An Office, Such Person's",https://legiscan.com/MS/bill/HB66/2016
895849,MS,HB302,2017,2017 Regular Session,In House Committee,2017-01-31,2017-01-31,Died In Committee,,opens,"Open primaries elections; authorize for state, county and municipal offices.","An Act To Abolish Partisan Primaries; To Provide The Time For Holding General And Preferential Elections; To Provide That When Only One Person Has Qualified As A Candidate For An Office, Such Person's",https://legiscan.com/MS/bill/HB302/2017
895896,MS,HB305,2017,2017 Regular Session,In House Committee,2017-01-31,2017-01-31,Died In Committee,,opens,"Open primaries elections; authorize for state, county and municipal offices.","An Act To Abolish Partisan Primaries; To Provide The Time For Holding General And Preferential Elections; To Provide That When Only One Person Has Qualified As A Candidate For An Office, Such Person's",https://legiscan.com/MS/bill/HB305/2017
