state,name,party,role,district,sitting,sponsored,yea,nay,people_id
ME,Janice Cooper,D,Rep,HD-047,no,0,2,2,15402
LA,Dan Claitor,R,Sen,SD-016,no,0,3,1,5421
LA,Yvonne Dorsey-Colomb,D,Sen,SD-014,no,0,4,0,5414
LA,Jack Donahue,R,Sen,SD-011,no,0,3,1,5383
SD,Stanford Adelstein,R,Sen,SD-032,no,1,1,0,8279
LA,Eric LaFleur,D,Sen,SD-028,no,0,4,0,5404
ME,James Handy,D,Rep,HD-058,no,0,3,1,18189
MT,Scott Boulanger,R,Sen,SD-044,no,0,4,0,14353
MT,Edward Walker,R,Sen,SD-029,no,0,4,0,11155
LA,Jean-Paul Morrell,D,Sen,SD-003,no,0,4,0,5371
MD,Vaughn Stewart,D,Rep,HD-019,yes,1,1,0,20797
WY,Bernadine Craft,D,Sen,SD-012,no,1,1,0,8697
ME,Victoria Morales,D,Rep,HD-033,no,0,2,2,21227
ME,Scott Strom,R,Rep,HD-106,no,0,3,1,18207
NY,Frank Skartados,D,Rep,HD-104,no,1,1,0,1385
IL,Larry Bomke,R,Sen,SD-050,no,1,1,0,1089
UT,Craig Hall,R,Rep,HD-033,no,1,1,0,14565
MT,Mike Fox,D,Sen,SD-016,yes,0,0,4,21771
NY,Shelley Mayer,D,Sen,SD-037,yes,0,4,0,13939
MT,Dave Lewis,R,Sen,SD-042,no,0,4,0,7967
ME,Janice Dodge,D,Rep,HD-039,yes,0,2,2,21201
MD,Jen Terrasa,D,Rep,HD-013,yes,1,1,0,20868
LA,Lydia Jackson,D,Sen,SD-039,no,0,4,0,5441
ME,Kathy Javner,R,Rep,HD-029,yes,0,2,2,21218
MT,Llew Jones,R,Rep,HD-018,yes,0,4,0,7855
MD,Kris Fair,D,Rep,HD-003,yes,1,1,0,24386
MD,Cheryl Pasteur,D,Rep,HD-011,yes,1,1,0,24538
LA,Nicholas Gautreaux,D,Sen,SD-026,no,0,4,0,5363
MD,Deni Taveras,D,Rep,HD-047,yes,1,1,0,24540
TN,Jerome Moon,R,Rep,HD-008,yes,1,1,0,19504
MD,Jared Solomon,D,Rep,HD-018,yes,1,1,0,20796
TN,Clay Doggett,R,Rep,HD-070,yes,1,1,0,20340
LA,Julie Quinn,R,Sen,SD-006,no,0,3,1,5405
MT,Matthew Rosendale,R,Sen,SD-019,no,0,4,0,10877
ME,Owen Casas,I,Rep,HD-094,no,1,0,1,18180
ME,Josanne Dolloff,R,Rep,HD-115,no,0,2,2,21202
ME,Kevin Battle,R,Rep,HD-033,no,1,1,0,16632
LA,William McPherson,D,Sen,SD-029,no,0,4,0,5377
LA,Ann Duplessis,D,Sen,SD-002,no,0,4,0,5384
TN,William Slater,R,Rep,HD-035,yes,1,1,0,23616
ME,Matthew Moonen,D,Rep,HD-117,yes,0,3,1,14726
LA,Willie Mount,D,Sen,SD-027,no,0,3,1,5388
ME,Margaret Craven,D,Rep,HD-093,no,0,2,2,8747
ME,Holly Stover,D,Rep,HD-048,yes,0,2,2,21235
ME,Andrew Gattine,D,Rep,HD-126,yes,0,3,1,14717
ME,Lori Gramlich,D,Rep,HD-131,yes,0,3,1,21209
ME,Ralph Chapman,D,Rep,HD-133,no,1,0,1,10325
ME,Victoria Doudera,D,Rep,HD-041,yes,0,2,2,21203
ME,Michael Brennan,D,Rep,HD-115,yes,0,2,2,21192
ME,Amy Arata,R,Rep,HD-104,yes,0,2,2,21189
ME,Christopher Kessler,D,Rep,HD-121,yes,0,3,1,21219
ME,Gary Drinkwater,R,Rep,HD-027,yes,0,3,1,21204
ME,Ann Matlack,D,Rep,HD-043,yes,0,2,2,21223
ME,Bruce White,D,Rep,HD-065,no,0,3,1,21237
ME,Jeffrey Timberlake,R,Sen,SD-017,yes,0,2,2,10372
ME,Stacey Guerin,R,Sen,SD-004,yes,0,2,2,10341
